Credit Card,Required FICO Score,Estimated Minimum Income
Chase Sapphire Preferred®,700+,"$30,000+"
Chase Sapphire Reserve®,740+,"$50,000+"
Capital One Venture Rewards,700+,"$20,000+"
Discover it® Cash Back,670+,"$15,000+"
Citi® Double Cash Card,700+,"$30,000+"
American Express® Gold Card,700+,"$40,000+"
Wells Fargo Propel American Express®,700+,"$25,000+"
Bank of America® Premium Rewards®,700+,"$40,000+"
U.S. Bank Cash+™ Visa Signature® Card,700+,"$25,000+"
Capital One® Quicksilver® Cash Rewards,670+,"$20,000+"
Blue Cash Preferred® Card from AmEx,700+,"$35,000+"
Chase Freedom Flex℠,700+,"$25,000+"
Chase Freedom Unlimited®,700+,"$25,000+"
Citi Rewards+® Card,670+,"$20,000+"
Capital One SavorOne Cash Rewards,670+,"$25,000+"
Capital One Platinum Credit Card,580+,"$15,000+"
American Express® Blue Business Cash™,700+,"$40,000+"
The Platinum Card® from American Express,740+,"$50,000+"
Chase Ink Business Preferred®,720+,"$40,000+"
Capital One Spark Cash for Business,700+,"$30,000+"
Wells Fargo Active Cash® Card,700+,"$25,000+"
American Express® Green Card,700+,"$30,000+"
Bank of America® Travel Rewards,670+,"$20,000+"
Blue Business® Plus Credit Card,700+,"$40,000+"
U.S. Bank Altitude® Go Visa Signature®,700+,"$30,000+"
American Express Cash Magnet® Card,700+,"$30,000+"
HSBC Gold Mastercard®,670+,"$25,000+"
Capital One® Walmart Rewards® Card,670+,"$15,000+"
Costco Anywhere Visa® Card by Citi,720+,"$35,000+"
Amazon Prime Rewards Visa Signature®,700+,"$30,000+"
Citi Simplicity® Card,670+,"$20,000+"
Barclaycard Arrival Plus® World Elite,700+,"$40,000+"
"Petal® 2 ""Cash Back, No Fees"" Visa®",600+,"$15,000+"
FNBO Evergreen® Visa® Card,700+,"$20,000+"
PenFed Power Cash Rewards Visa Signature,700+,"$30,000+"
Navy Federal More Rewards American Express,670+,"$25,000+"
Apple Card,600+,"$15,000+"
PayPal Cashback Mastercard®,670+,"$20,000+"
SoFi Credit Card,700+,"$30,000+"
Upgrade Visa® Card,600+,"$15,000+"
Capital One Journey® Student Rewards,600+,"$30,000+"
TD Cash Credit Card,670+,"$15,000+"
QuicksilverOne from Capital One,580+,"$15,000+"
Indigo® Platinum Mastercard®,600+,"$15,000+"
